User 5%, System 6%, IOW 0%, IRQ 0%
User 6 + Nice 0 + Sys 8 + Idle 103 + IOW 0 + IRQ 0 + SIRQ 0 = 117

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
 1330 shell    20   0   7% R     1   9100K   1884K  fg top
  894 system   20   0   4% S    36 1035084K  45132K  fg com.togic.upnp
  196 media    20   0   4% S    15 246316K  89164K  fg /system/bin/mediaserver
30389 u0_a16   16  -4   2% S   116 1453588K 276984K  ta com.togic.livevideo
  389 system   18  -2   0% S    83 2262232K 222888K  fg system_server
    8 root     20   0   0% S     1      0K      0K  fg rcu_preempt
    9 root     20   0   0% S     1      0K      0K  fg rcu_bh
   10 root     20   0   0% S     1      0K      0K  fg rcu_sched
   11 root     RT   0   0% S     1      0K      0K  fg watchdog/0
   12 root     RT   0   0% S     1      0K      0K  fg watchdog/1
   13 root     RT   0   0% S     1      0K      0K  fg migration/1
   14 root     20   0   0% S     1      0K      0K  fg ksoftirqd/1
   16 root      0 -20   0% S     1      0K      0K  fg kworker/1:0H
   17 root     RT   0   0% S     1      0K      0K  fg watchdog/2
   18 root     RT   0   0% S     1      0K      0K  fg migration/2
   19 root     20   0   0% S     1      0K      0K  fg ksoftirqd/2
   21 root      0 -20   0% S     1      0K      0K  fg kworker/2:0H
   22 root     RT   0   0% S     1      0K      0K  fg watchdog/3
   23 root     RT   0   0% S     1      0K      0K  fg migration/3
   24 root     20   0   0% S     1      0K      0K  fg ksoftirqd/3
   26 root      0 -20   0% S     1      0K      0K  fg kworker/3:0H
   27 root      0 -20   0% S     1      0K      0K  fg khelper
   28 root     20   0   0% S     1      0K      0K  fg kdevtmpfs
   29 root      0 -20   0% S     1      0K      0K  fg netns
   32 root     20   0   0% S     1      0K      0K  fg kworker/2:1
   34 root     20   0   0% S     1      0K      0K  fg kconsole
   35 root      0 -20   0% S     1      0K      0K  fg writeback
   36 root      0 -20   0% S     1      0K      0K  fg bioset
   37 root      0 -20   0% S     1      0K      0K  fg crypto
   39 root      0 -20   0% S     1      0K      0K  fg kblockd
   40 root     20   0   0% S     1      0K      0K  fg khubd
   44 root     20   0   0% S     1      0K      0K  fg vmalloc
   45 root      0 -20   0% S     1      0K      0K  fg devfreq_wq
   46 root     RT   0   0% S     1      0K      0K  fg irq/6-rk805
   47 root     RT   0   0% S     1      0K      0K  fg irq/65-rga
   48 root     20   0   0% S     1      0K      0K  fg fb-vsync
   49 root     20   0   0% S     1      0K      0K  fg rk-fb
   50 root     RT   0   0% S     1      0K      0K  fg cfinteractive
   51 root      0 -20   0% S     1      0K      0K  fg rpciod
   52 root     RT   0   0% S     1      0K      0K  fg irq/41-ff350000
   53 root     RT   0   0% S     1      0K      0K  fg irq/41-ff351000
   54 root     RT   0   0% S     1      0K      0K  fg irq/39-ff360000
   69 root     20   0   0% S     1      0K      0K  fg khungtaskd
   70 root     20   0   0% S     1      0K      0K  fg kswapd0
   71 root     20   0   0% S     1      0K      0K  fg fsnotify_mark
   72 root      0 -20   0% S     1      0K      0K  fg nfsiod
   73 root      0 -20   0% S     1      0K      0K  fg cifsiod
